"Arrival_Time","Airline_Code","Airline","Origin_Airport","Origin_Code","Origin_City","Flight_Code","Duration"
"00:01","KL","KLM","Schiphol","AMS","Amsterdam","KL877","8h 46m"
"00:05","6E","IndiGo","Kempegowda International Airport","BLR","Bengaluru","6E5094","1h 45m"
"00:05","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E395","2h 20m"
"00:05","IX","Air India Express","Mopa Airport","GOX","Goa","IX1209","1h 30m"
"00:10","6E","IndiGo","Chennai International","MAA","Chennai","6E1608","2h 0m"
"00:10","6E","IndiGo","Raipur","RPR","Raipur","6E5049","2h 10m"
"00:10","QP","Akasa Air","Ahmedabad Airport","AMD","Ahmedabad","QP1104","1h 30m"
"00:15","AI","Air India","Rajiv Gandhi International Airport","HYD","Hyderabad","AI2699","1h 55m"
"00:20","6E","IndiGo","Lokpriya Gopinath Bordoloi International Airport","GAU","Guwahati","6E5066","3h 20m"
"00:20","CX","Cathay Pacific","Hong Kong International Airport","HKG","Hong Kong","CX663","6h 15m"
"00:25","6E","IndiGo","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","6E115","2h 45m"
"00:30","6E","IndiGo","Ahmedabad Airport","AMD","Ahmedabad","6E6351","1h 15m"
"00:30","6E","IndiGo","Chennai International","MAA","Chennai","6E6225","2h 0m"
"00:35","6E","IndiGo","Dubai International Airport","DXB","Dubai","6E1456","3h 10m"
"00:40","QP","Akasa Air","Kempegowda International Airport","BLR","Bengaluru","QP1134","1h 45m"
"00:45","6E","IndiGo","Patna","PAT","Patna","6E6619","2h 45m"
"00:50","6E","IndiGo","Bandaranaike International","CMB","Colombo","6E1186","2h 50m"
"01:00","6E","IndiGo","Rajiv Gandhi International Airport","HYD","Hyderabad","6E6363","1h 30m"
"01:00","LH","Lufthansa","Frankfurt Airport","FRA","Frankfurt","LH756","8h 30m"
"01:05","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E6114","2h 20m"
"01:15","6E","IndiGo","Amritsar","ATQ","Amritsar","6E821","2h 35m"
"01:15","6E","IndiGo","Kempegowda International Airport","BLR","Bengaluru","6E6189","1h 45m"
"01:20","KU","Kuwait Airways","Kuwait International","KWI","Kuwait","KU301","4h 15m"
"01:25","6E","IndiGo","Goa","GOI","Goa","6E6156","1h 20m"
"01:25","AI","Air India","Cochin","COK","Kochi","AI2792","2h 15m"
"01:25","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2439","2h 25m"
