"Arrival time","Airline code","Airline","Origin airport","Origin code","Origin city","Flight","Duration"
"00:05","EK","Emirates","Indira Gandhi International Airport","DEL","Delhi","EK515","3h 30m"
"00:05","EK","Emirates","Jinnah International","KHI","Karachi","EK603","2h 10m"
"00:10","EK","Emirates","Frankfurt Airport","FRA","Frankfurt","EK46","6h 55m"
"00:10","EK","Emirates","Rajiv Gandhi International Airport","HYD","Hyderabad","EK529","3h 40m"
"00:10","EK","Emirates","King Abdulaziz International Airport","JED","Jeddah","EK804","3h 0m"
"00:10","FZ","flydubai","Ben Gurion International Airport","TLV","Tel Aviv-Yafo","FZ1626","3h 45m"
"00:15","EK","Emirates","Budapest Ferenc Liszt International Airport","BUD","Budapest","EK112","6h 10m"
"00:15","EK","Emirates","Munich Airport","MUC","Munich","EK50","6h 35m"
"00:15","EK","Emirates","Zurich Airport","ZRH","Zurich","EK88","6h 45m"
"00:20","EK","Emirates","Cote D Azur Airport","NCE","Nice","EK78","6h 30m"
"00:25","IX","Air India Express","Cochin","COK","Kochi","IX433","3h 50m"
"00:30","EK","Emirates","El Prat Airport","BCN","Barcelona","EK256","6h 50m"
"00:30","EK","Emirates","Copenhagen Airport","CPH","Copenhagen","EK152","7h 15m"
"00:35","EK","Emirates","Brussels Airport","BRU","Brussels","EK184","7h 15m"
"00:35","EK","Emirates","Cape Town International","CPT","Cape Town","EK773","9h 20m"
"00:35","EK","Emirates","Dusseldorf Airport","DUS","Dusseldorf","EK56","7h 10m"
"00:35","EK","Emirates","Galeao Antonio Carlos Jobim","GIG","Rio De Janeiro","EK248","14h 30m"
"00:40","EK","Emirates","Cairo International Airport","CAI","Cairo","EK924","3h 35m"
"00:40","EK","Emirates","Hamburg Airport","HAM","Hamburg","EK60","7h 10m"
"00:40","EK","Emirates","Chennai International","MAA","Chennai","EK547","4h 5m"
"00:40","FZ","flydubai","Hamad International Airport","DOH","Doha","FZ20","1h 15m"
"00:45","EK","Emirates","Schiphol","AMS","Amsterdam","EK148","7h 20m"
"00:45","EK","Emirates","Charles De Gaulle","CDG","Paris","EK74","7h 10m"
"00:45","EK","Emirates","Bali International","DPS","Denpasar","EK369","9h 0m"
"00:45","EK","Emirates","Barajas","MAD","Madrid","EK142","7h 20m"
"00:45","EK","Emirates","Václav Havel Airport Prague","PRG","Prague","EK140","6h 35m"
"00:45","FZ","flydubai","Istanbul Airport","IST","Istanbul","FZ728","5h 10m"
"00:45","FZ","flydubai","King Khaled International","RUH","Riyadh","FZ856","2h 30m"
"00:50","EK","Emirates","Suvarnabhumi Airport","BKK","Bangkok","EK373","6h 15m"
"00:55","EK","Emirates","Bandaranaike International","CMB","Colombo","EK655","4h 20m"
"00:55","EK","Emirates","Manchester Airport","MAN","Manchester","EK18","7h 50m"
"00:55","FZ","flydubai","Vnukovo International Airport","VKO","Moscow","FZ990","7h 40m"
"01:00","EK","Emirates","King Fahd International","DMM","Dammam","EK822","1h 15m"
"01:00","EK","Emirates","Heathrow","LHR","London","EK2","7h 35m"
"01:05","EK","Emirates","Moscow Domodedovo Airport","DME","Moscow","EK134","7h 15m"
"01:05","EK","Emirates","Newcastle International Airport","NCL","Newcastle","EK36","7h 50m"
"01:05","EK","Emirates","Oslo Gardermoen Airport","OSL","Oslo","EK160","7h 45m"
"01:05","FZ","flydubai","Zia International","DAC","Dhaka","FZ524","5h 5m"
"01:10","BS","US-Bangla Airlines","Shah Amanat International","CGP","Chittagong","BS341","5h 15m"
"01:10","EK","Emirates","Stockholm Arlanda Airport","ARN","Stockholm","EK158","7h 35m"
"01:10","EK","Emirates","Gatwick","LGW","London","EK16","7h 35m"
"01:10","FZ","flydubai","Jinnah International","KHI","Karachi","FZ330","2h 15m"
"01:15","EK","Emirates","Diosdado Macapagal International","CRK","Angeles","EK338","8h 20m"
"01:15","EK","Emirates","Lisbon Airport","LIS","Lisbon","EK192","7h 55m"
"01:20","EK","Emirates","Birmingham Airport","BHX","Birmingham","EK40","7h 45m"
"01:20","EK","Emirates","Dublin Airport","DUB","Dublin","EK162","8h 0m"
"01:20","FZ","flydubai","Ben Gurion International Airport","TLV","Tel Aviv-Yafo","FZ1808","3h 35m"
"01:30","EK","Emirates","Mohammed V International Airport","CMN","Casablanca","EK752","7h 50m"
"01:30","EK","Emirates","Stansted","STN","London","EK66","7h 35m"
"01:35","EK","Emirates","Istanbul Airport","IST","Istanbul","EK122","5h 0m"
"01:35","FZ","flydubai","Addis Ababa Bole International Airport","ADD","Addis Ababa","FZ648","4h 20m"
"01:40","EK","Emirates","Larnaca Airport","LCA","Larnaca","EK110","4h 15m"
"01:45","EK","Emirates","Glasgow International Airport ","GLA","Glasgow","EK28","8h 5m"
"01:45","FZ","flydubai","Tribhuvan International","KTM","Kathmandu","FZ574","4h 30m"
"01:55","VF","AJet","Istanbul Sabiha Gökçen International Airport","SAW","Istanbul","VF143","4h 35m"
"02:15","H9","Himalaya Airlines","Tribhuvan International","KTM","Kathmandu","H9765","4h 45m"
"02:25","PA","Airblue","Islamabad International Airport","ISB","Islamabad","PA210","3h 30m"
"02:55","ET","Ethiopian","Addis Ababa Bole International Airport","ADD","Addis Ababa","ET600","4h 10m"
"02:55","FZ","flydubai","King Abdulaziz International Airport","JED","Jeddah","FZ808","3h 0m"
