"Departure_Time","Airline_Code","Airline","Destination_Airport","Destination_Code","Destination_City","Flight_Code","Duration"
"00:15","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2758","2h 55m"
"00:40","MH","Malaysia Airlines","Kuala Lumpur International Airport","KUL","Kuala Lumpur","MH193","4h 20m"
"00:45","SG","SpiceJet","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","SG369","1h 55m"
"00:50","6E","IndiGo","Bali International","DPS","Denpasar","6E1605","7h 0m"
"00:55","TG","Thai Airways","Suvarnabhumi Airport","BKK","Bangkok","TG326","3h 55m"
"01:00","6E","IndiGo","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","6E5293","1h 50m"
"01:00","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E839","2h 50m"
"01:05","6E","IndiGo","King Abdulaziz International Airport","JED","Jeddah","6E77","6h 15m"
"01:05","6E","IndiGo","Pune","PNQ","Pune","6E6563","1h 30m"
"01:15","CX","Cathay Pacific","Hong Kong International Airport","HKG","Hong Kong","CX624","6h 5m"
"01:20","6E","IndiGo","Zayed International Airport","AUH","Abu Dhabi","6E1419","4h 0m"
"01:25","AF","Air France","Charles De Gaulle","CDG","Paris","AF191","11h 0m"
"01:40","6E","IndiGo","Suvarnabhumi Airport","BKK","Bangkok","6E1213","3h 50m"
"02:10","LH","Lufthansa","Munich Airport","MUC","Munich","LH765","9h 15m"
"02:40","6E","IndiGo","Pune","PNQ","Pune","6E6876","1h 25m"
"03:00","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E804","2h 50m"
"03:00","BA","British Airways","Heathrow","LHR","London","BA130","10h 45m"
"03:00","LH","Lufthansa","Frankfurt Airport","FRA","Frankfurt","LH755","9h 35m"
"03:45","6E","IndiGo","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","6E5205","1h 45m"
"04:00","IX","Air India Express","Pune","PNQ","Pune","IX2783","1h 35m"
"04:00","QR","Qatar Airways","Hamad International Airport","DOH","Doha","QR573","4h 0m"
"04:05","KU","Kuwait Airways","Kuwait International","KWI","Kuwait","KU354","5h 10m"
"04:05","QP","Akasa Air","Indira Gandhi International Airport","DEL","Delhi","QP1811","2h 55m"
"04:15","6E","IndiGo","Sir Seewoosagur Ramgoolam International","MRU","Mauritius","6E1861","5h 45m"
"04:25","6E","IndiGo","Hamad International Airport","DOH","Doha","6E1301","4h 25m"
"04:25","G9","Air Arabia","Sharjah International","SHJ","Sharjah","G9497","3h 45m"
"04:30","6E","IndiGo","Pune","PNQ","Pune","6E408","1h 30m"
"04:35","EY","Etihad","Zayed International Airport","AUH","Abu Dhabi","EY233","3h 55m"
"04:40","6E","IndiGo","Chandigarh","IXC","Chandigarh","6E6633","3h 0m"
"04:45","EK","Emirates","Dubai International Airport","DXB","Dubai","EK569","3h 50m"
"04:45","SG","SpiceJet","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","SG115","2h 10m"
"05:00","OV","Salam Air","Seeb International","MCT","Muscat","OV784","3h 40m"
"05:00","QP","Akasa Air","Indira Gandhi International Airport","DEL","Delhi","QP1359","2h 50m"
"05:05","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E836","2h 50m"
"05:10","6E","IndiGo","Ahmedabad Airport","AMD","Ahmedabad","6E586","2h 10m"
"05:10","QP","Akasa Air","Pune","PNQ","Pune","QP1311","1h 40m"
"05:15","6E","IndiGo","Lokpriya Gopinath Bordoloi International Airport","GAU","Guwahati","6E457","3h 5m"
"05:20","IX","Air India Express","Patna","PAT","Patna","IX2795","2h 35m"
"05:25","QP","Akasa Air","Indira Gandhi International Airport","DEL","Delhi","QP1571","3h 0m"
"05:30","6E","IndiGo","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","6E5089","1h 45m"
"05:30","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2414","2h 55m"
"05:30","IX","Air India Express","Cochin","COK","Kochi","IX2678","1h 10m"
"05:45","GF","Gulf Air","Bahrain International Airport","BAH","Bahrain","GF283","4h 40m"
"05:45","QP","Akasa Air","Bhubaneshwar","BBI","Bhubaneswar","QP1511","2h 5m"
"05:50","IX","Air India Express","Lokpriya Gopinath Bordoloi International Airport","GAU","Guwahati","IX2881","3h 20m"
"05:50","QP","Akasa Air","Indira Gandhi International Airport","DEL","Delhi","QP1823","3h 0m"
"05:55","IX","Air India Express","Vishakhapatnam","VTZ","Vishakhapatnam","IX2064","1h 35m"
"06:00","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2810","2h 45m"
"06:00","QP","Akasa Air","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","QP1515","1h 45m"
"06:05","6E","IndiGo","Goa","GOI","Goa","6E194","1h 15m"
