"Departure_Time","Airline_Code","Airline","Destination_Airport","Destination_Code","Destination_City","Flight_Code","Duration"
"00:15","6E","IndiGo","King Abdulaziz International Airport","JED","Jeddah","6E91","5h 25m"
"00:30","6E","IndiGo","Rajiv Gandhi International Airport","HYD","Hyderabad","6E6187","1h 40m"
"00:35","QP","Akasa Air","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","QP1135","2h 45m"
"00:40","LX","SWISS","Zurich Airport","ZRH","Zurich","LX155","9h 10m"
"00:40","VJ","VietJet","Noibai International","HAN","Hanoi","VJ910","5h 0m"
"00:45","6E","IndiGo","Suvarnabhumi Airport","BKK","Bangkok","6E1049","4h 40m"
"00:55","VZ","Vietjet Thailand","Suvarnabhumi Airport","BKK","Bangkok","VZ761","4h 25m"
"01:05","6E","IndiGo","Zayed International Airport","AUH","Abu Dhabi","6E1413","3h 10m"
"01:10","6E","IndiGo","Kempegowda International Airport","BLR","Bengaluru","6E5323","1h 55m"
"01:20","6E","IndiGo","Singapore Changi Airport","SIN","Singapore","6E1339","5h 55m"
"01:20","AF","Air France","Charles De Gaulle","CDG","Paris","AF217","10h 0m"
"01:30","6E","IndiGo","Ahmedabad Airport","AMD","Ahmedabad","6E911","1h 20m"
"01:40","BA","British Airways","Heathrow","LHR","London","BA138","9h 50m"
"01:40","CX","Cathay Pacific","Hong Kong International Airport","HKG","Hong Kong","CX660","6h 0m"
"01:45","LH","Lufthansa","Munich Airport","MUC","Munich","LH767","8h 25m"
"01:55","6E","IndiGo","Jomo Kenyatta International","NBO","Nairobi","6E1853","6h 15m"
"02:00","KL","KLM","Schiphol","AMS","Amsterdam","KL878","9h 20m"
"02:05","AI","Air India","Kempegowda International Airport","BLR","Bengaluru","AI2812","2h 5m"
"02:30","J9","Jazeera","Kuwait International","KWI","Kuwait","J9402","4h 15m"
"02:40","KQ","Kenya Airways","Jomo Kenyatta International","NBO","Nairobi","KQ203","6h 15m"
"02:40","LH","Lufthansa","Frankfurt Airport","FRA","Frankfurt","LH757","8h 55m"
"02:40","TG","Thai Airways","Suvarnabhumi Airport","BKK","Bangkok","TG352","4h 30m"
"02:45","6E","IndiGo","Kempegowda International Airport","BLR","Bengaluru","6E6284","1h 55m"
"02:45","6E","IndiGo","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","6E138","2h 45m"
"02:45","6E","IndiGo","Rajiv Gandhi International Airport","HYD","Hyderabad","6E5179","1h 35m"
"02:45","KU","Kuwait Airways","Kuwait International","KWI","Kuwait","KU302","4h 10m"
"03:00","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E6045","2h 10m"
"03:00","MS","EgyptAir","Cairo International Airport","CAI","Cairo","MS969","6h 0m"
"03:10","UL","SriLankan Airlines","Bandaranaike International","CMB","Colombo","UL142","2h 30m"
"03:55","6E","IndiGo","Phuket International Airport","HKT","Phuket","6E1071","4h 40m"
"04:00","6E","IndiGo","Ahmedabad Airport","AMD","Ahmedabad","6E632","1h 20m"
"04:05","6E","IndiGo","Chennai International","MAA","Chennai","6E136","2h 0m"
"04:05","AI","Air India","Sir Seewoosagur Ramgoolam International","MRU","Mauritius","AI2241","6h 0m"
"04:05","ET","Ethiopian","Addis Ababa Bole International Airport","ADD","Addis Ababa","ET611","5h 10m"
"04:10","J2","AZAL","Heydar Aliyev International Airport","GYD","Baku","J260","5h 10m"
"04:10","QR","Qatar Airways","Hamad International Airport","DOH","Doha","QR557","3h 20m"
"04:15","VS","Virgin Atlantic","Heathrow","LHR","London","VS359","10h 15m"
"04:20","AI","Air India","King Khaled International","RUH","Riyadh","AI2213","4h 25m"
"04:25","6E","IndiGo","Hamad International Airport","DOH","Doha","6E1303","3h 35m"
"04:25","EK","Emirates","Dubai International Airport","DXB","Dubai","EK501","3h 5m"
"04:30","6E","IndiGo","Kempegowda International Airport","BLR","Bengaluru","6E5294","1h 55m"
"04:30","AI","Air India","Heathrow","LHR","London","AI129","10h 15m"
"04:40","6E","IndiGo","Schiphol","AMS","Amsterdam","6E21","10h 5m"
"04:40","6E","IndiGo","Suvarnabhumi Airport","BKK","Bangkok","6E1603","4h 30m"
"04:40","6E","IndiGo","Manchester Airport","MAN","Manchester","6E31","10h 30m"
"04:45","6E","IndiGo","Lucknow","LKO","Lucknow","6E643","2h 10m"
"04:45","6E","IndiGo","King Khaled International","RUH","Riyadh","6E73","4h 30m"
"04:55","G9","Air Arabia","Sharjah International","SHJ","Sharjah","G9406","3h 0m"
"05:00","6E","IndiGo","Lokpriya Gopinath Bordoloi International Airport","GAU","Guwahati","6E5243","3h 10m"
"05:00","6E","IndiGo","Goa","GOI","Goa","6E6361","1h 5m"
"05:00","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E656","2h 10m"
"05:00","EY","Etihad","Zayed International Airport","AUH","Abu Dhabi","EY207","3h 0m"
"05:00","QP","Akasa Air","Chennai International","MAA","Chennai","QP1145","2h 0m"
