"Departure_Time","Airline_Code","Airline","Destination_Airport","Destination_Code","Destination_City","Flight_Code","Duration"
"00:05","IX","Air India Express","Kempegowda International Airport","BLR","Bengaluru","IX2681","1h 35m"
"00:10","6E","IndiGo","Lucknow","LKO","Lucknow","6E338","2h 10m"
"00:15","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E5321","2h 15m"
"00:15","IX","Air India Express","Chennai International","MAA","Chennai","IX2660","1h 55m"
"00:35","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2608","2h 25m"
"00:45","6E","IndiGo","Chennai International","MAA","Chennai","6E6745","1h 50m"
"00:55","SG","SpiceJet","Indira Gandhi International Airport","DEL","Delhi","SG106","2h 20m"
"01:00","6E","IndiGo","Bhopal","BHO","Bhopal","6E254","1h 30m"
"01:10","6E","IndiGo","Devi Ahilyabai Holkar","IDR","Indore","6E119","1h 20m"
"01:15","6E","IndiGo","Kempegowda International Airport","BLR","Bengaluru","6E361","1h 40m"
"01:20","IX","Air India Express","Amritsar","ATQ","Amritsar","IX1693","2h 50m"
"01:35","IX","Air India Express","Cochin","COK","Kochi","IX2739","1h 55m"
"01:45","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E2418","2h 15m"
"01:50","6E","IndiGo","Rajiv Gandhi International Airport","HYD","Hyderabad","6E336","1h 20m"
"02:50","6E","IndiGo","Lokpriya Gopinath Bordoloi International Airport","GAU","Guwahati","6E623","3h 0m"
"03:00","6E","IndiGo","Chandigarh","IXC","Chandigarh","6E242","2h 20m"
"03:15","6E","IndiGo","Kempegowda International Airport","BLR","Bengaluru","6E6564","1h 40m"
"03:35","6E","IndiGo","Chennai International","MAA","Chennai","6E914","1h 50m"
"03:45","IX","Air India Express","Chandigarh","IXC","Chandigarh","IX1686","2h 20m"
"04:00","6E","IndiGo","Coimbatore","CJB","Coimbatore","6E6472","1h 40m"
"04:40","6E","IndiGo","Ahmedabad Airport","AMD","Ahmedabad","6E819","1h 30m"
"04:55","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2712","2h 20m"
"05:00","6E","IndiGo","Kempegowda International Airport","BLR","Bengaluru","6E6877","1h 35m"
"05:05","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E2419","2h 10m"
"05:05","6E","IndiGo","Amritsar","ATQ","Amritsar","6E721","2h 10m"
"05:10","6E","IndiGo","Nagpur","NAG","Nagpur","6E2447","1h 25m"
"05:15","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2404","2h 15m"
"05:20","6E","IndiGo","Devi Ahilyabai Holkar","IDR","Indore","6E284","1h 20m"
"05:25","6E","IndiGo","Mopa Airport","GOX","Goa","6E6944","1h 5m"
"05:30","6E","IndiGo","Chennai International","MAA","Chennai","6E159","1h 50m"
"05:35","6E","IndiGo","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","6E6359","2h 35m"
"05:50","6E","IndiGo","Birsa Munda","IXR","Ranchi","6E6484","2h 5m"
"05:55","SG","SpiceJet","Indira Gandhi International Airport","DEL","Delhi","SG937","2h 35m"
"06:25","6E","IndiGo","Rajiv Gandhi International Airport","HYD","Hyderabad","6E352","1h 25m"
"06:40","6E","IndiGo","Kempegowda International Airport","BLR","Bengaluru","6E391","1h 50m"
"07:25","IX","Air India Express","Suvarnabhumi Airport","BKK","Bangkok","IX242","4h 45m"
"07:25","QP","Akasa Air","Kempegowda International Airport","BLR","Bengaluru","QP1312","1h 40m"
"07:25","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E2375","2h 15m"
"07:40","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2470","2h 25m"
"07:50","QP","Akasa Air","Indira Gandhi International Airport","DEL","Delhi","QP1607","2h 20m"
"08:10","IX","Air India Express","Devi Ahilyabai Holkar","IDR","Indore","IX1236","1h 45m"
"08:15","6E","IndiGo","Vadodara","BDQ","Vadodara","6E956","1h 5m"
"08:25","IX","Air India Express","Indira Gandhi International Airport","DEL","Delhi","IX1672","2h 15m"
"08:30","S5","Star Air","Ajmer Airport","KQH","Kishangarh","S5200","1h 45m"
"08:45","IC","Fly91","Sindhudurg Airport","SDW","Malvan","IC5306","1h 10m"
"08:45","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI1838","2h 25m"
"08:50","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E2661","2h 15m"
"12:00","IC","Fly91","Mopa Airport","GOX","Goa","IC1402","1h 20m"
"12:15","6E","IndiGo","Jodhpur","JDH","Jodhpur","6E133","1h 45m"
"12:25","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E6431","2h 15m"
"12:40","6E","IndiGo","Rajiv Gandhi International Airport","HYD","Hyderabad","6E6473","1h 30m"
"13:00","QP","Akasa Air","Mopa Airport","GOX","Goa","QP1562","1h 10m"
"13:15","IX","Air India Express","Bagdogra","IXB","Bagdogra","IX1249","2h 40m"
"13:35","6E","IndiGo","Chennai International","MAA","Chennai","6E625","1h 55m"
"13:45","6E","IndiGo","Nagpur","NAG","Nagpur","6E2481","1h 25m"
"13:55","6E","IndiGo","Goa","GOI","Goa","6E367","1h 5m"
"14:00","6E","IndiGo","Surat","STV","Surat Gujarat","6E6191","1h 10m"
"14:35","QP","Akasa Air","Kempegowda International Airport","BLR","Bengaluru","QP1314","1h 45m"
"14:40","6E","IndiGo","Kempegowda International Airport","BLR","Bengaluru","6E302","1h 40m"
